date,temperatureMin,temperatureMax,humidity,dewPoint,windSpeed,temperatureMean
2018/06/23,69.47,82.98,0.84,69.38,11.88,70.5929
2018/06/24,68.44,84.13,0.79,67.65,12.35,70.5929
2018/06/25,68.55,83.13,0.77,67.81,13.55,70.5929
2018/06/26,69.47,83.34,0.78,67.49,15.25,70.5929
2018/06/27,69.39,81.3,0.84,68.27,14.4,70.5929
2018/06/28,69.47,78.55,0.82,67.74,13.26,70.5929
2018/06/29,69.47,83.15,0.82,68.56,10.17,70.5929
2018/06/30,66.58,84.28,0.79,67.18,8.96,70.5929
2018/07/01,68.58,82.35,0.79,68.08,7.14,70.5929
2018/07/02,69.39,85.06,0.76,68.13,10.76,70.5929
2018/07/03,69.4,84.94,0.76,67.33,10.99,70.5929
2018/07/04,69.46,83.96,0.74,66.34,12.74,70.5929
2018/07/05,67.59,86.73,0.7,64.68,14.68,70.5929
2018/07/06,67.71,79.53,0.82,68.21,14.3,70.5929
2018/07/07,69.47,80.67,0.85,69.2,13.69,70.5929
2018/07/08,69.47,81.22,0.88,69.65,12.21,70.5929
2018/07/09,69.39,82.53,0.88,69.74,12.45,70.5929
2018/07/10,69.39,81.33,0.92,70.3,10.67,70.5929
2018/07/11,69.47,80.86,0.91,69.97,12.8,70.5929
2018/07/12,69.4,81.76,0.85,68.83,14.38,70.5929
2018/07/13,69.47,81.02,0.88,69.44,14.72,70.5929
2018/07/14,69.47,81.8,0.88,69.67,15.26,70.5929
2018/07/15,69.53,83.37,0.78,67.84,16.92,70.5929
2018/07/16,69.53,81.27,0.86,69.08,16.46,70.5929
2018/07/17,68.55,80.57,0.84,68.62,16.86,70.5929
2018/07/18,67.69,84.94,0.81,67.95,13.23,70.5929
2018/07/19,70.5,81.3,0.84,69.45,15.39,70.5929
2018/07/20,69.49,81.42,0.82,68.29,17.87,70.5929
2018/07/21,69.41,81.4,0.9,71.43,15.07,70.5929
2018/07/22,69.5,83.37,0.83,69.67,14.92,70.5929
2018/07/23,69.48,83.23,0.92,70.61,11.52,70.5929
2018/07/24,69.39,82.33,0.88,69.94,12.06,70.5929
2018/07/25,67.83,82.36,0.88,69.63,11.45,70.5929
2018/07/26,69.44,82.2,0.84,69.71,10.41,70.5929
2018/07/27,69.45,81.32,0.86,69.2,12.07,70.5929
2018/07/28,67.72,82.46,0.84,69.67,11.25,70.5929
2018/07/29,69.46,83.42,0.84,70.0,10.76,70.5929
2018/07/30,69.39,83.26,0.82,69.26,11.59,70.5929
2018/07/31,69.42,82.46,0.84,69.27,13.02,70.5929
2018/08/01,67.58,82.33,0.85,67.83,11.2,70.5929
2018/08/02,67.69,84.97,0.82,67.88,12.14,70.5929
2018/08/03,69.39,84.14,0.83,68.62,10.34,70.5929
2018/08/04,67.69,83.93,0.82,68.15,11.9,70.5929
2018/08/05,67.83,83.31,0.75,66.88,13.33,70.5929
2018/08/06,68.5,83.32,0.82,67.62,14.88,70.5929
2018/08/07,67.61,79.56,0.87,68.06,12.55,70.5929
2018/08/08,69.36,80.6,0.92,70.02,11.54,70.5929
2018/08/09,69.47,84.15,0.84,69.09,11.65,70.5929
2018/08/10,69.39,80.53,0.86,68.81,11.73,70.5929
2018/08/11,67.72,77.73,0.85,67.31,14.13,70.5929
2018/08/12,66.17,77.46,0.81,65.69,17.49,70.5929
2018/08/13,64.25,80.61,0.79,65.1,18.71,70.5929
2018/08/14,64.99,77.08,0.84,66.49,17.65,70.5929
2018/08/15,65.71,80.63,0.84,67.17,14.93,70.5929
2018/08/16,65.86,78.96,0.86,66.97,18.76,70.5929
2018/08/17,64.9,83.42,0.76,65.69,18.29,70.5929
2018/08/18,66.13,84.06,0.73,65.04,17.91,70.5929
2018/08/19,66.91,82.56,0.74,64.91,17.59,70.5929
2018/08/20,65.54,82.74,0.72,64.33,17.51,70.5929
2018/08/21,64.96,84.31,0.69,63.46,16.62,70.5929
2018/08/22,64.75,84.63,0.69,64.19,14.33,70.5929
2018/08/23,66.34,84.99,0.7,64.87,13.69,70.5929
2018/08/24,66.06,83.94,0.7,64.61,13.11,70.5929
2018/08/25,65.77,83.31,0.72,65.02,12.02,70.5929
2018/08/26,65.3,82.86,0.74,65.23,13.03,70.5929
